Slide Position,Slide Type,Lot Number,Panel ID,Concentration,Normalized Dry,Sensor Aged DryRatio,Sensor Slope,Sensor Curve,Sensor Const 1,Sensor Const 2,Sensor Const 3,Current Multiplier,H22 Target,H33 Target,H44 Target,Dry Intensity,Wet Intensity,Dark Intensity,Scalar,False Light,Flags,AEM Max Samples,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
14,0,0,631364,90.37541199,0,1.270040154,-1.413731813,0,2.308000088,0,0,1,0,0,0,430048,281149,0,0.993296981,3633,0,42,0,0,432672,431331,430851,430483,430164,429933,457432,432301,401399,297688,207475,186712,208673,235145,253173,264700,271574,276301,279615,282683,284568,286012,287485,288708,289704,290639,291504,292271,292973,293621,294161,294806,295338,295888,296414,0,0,0,0,0
16,1,0,631364,3.91334796,0,0.976626396,0.013303309,0.247983098,0.2588,0.150000006,0,1,0,0,0,293727,111732,0,0.989269972,3548,0,42,0,0,295059,294482,294240,293946,293816,293638,305976,272317,193940,140840,119746,112715,112014,112667,113151,113322,113224,113029,112786,112861,112654,112468,112325,112198,112100,112000,111923,111824,111771,111693,111624,111574,111521,111486,111447,0,0,0,0,0
18,2,0,631364,21.92895126,0,1.276725411,13.37668324,0,0,0,0,1,0,0,0,81114,47258,0,0.925234973,4111,0,42,0,0,80213,80631,80751,80850,81038,81190,82592,83811,86137,83777,79066,73740,69276,65415,62376,59820,57795,56091,54667,53587,52571,51658,50885,50179,49549,48966,48440,47941,47481,47035,46623,46231,45859,45503,45163,0,0,0,0,0
1,0,0,631365,90.60857391,0,1.270040154,-1.413731813,0,2.308000088,0,0,1,0,0,0,428900,280928,0,0.993296981,3633,0,42,0,0,430560,429889,429518,428877,429032,428768,456716,429097,392707,305603,228502,203489,212676,232080,248369,260865,269330,275030,279571,282286,284385,286109,287590,288793,289881,290828,291684,292395,293124,293745,294350,294955,295539,296045,296606,0,0,0,0,0
3,1,0,631365,3.8361516,0,0.976626396,0.013303309,0.247983098,0.2588,0.150000006,0,1,0,0,0,285978,108263,0,0.989269972,3548,0,42,0,0,286996,286595,286373,286192,286013,285943,298059,268549,196570,141040,117049,108469,107683,108855,109609,109830,109774,109605,109682,109416,109217,109022,108883,108750,108640,108538,108456,108367,108295,108231,108152,108095,108039,107991,107951,0,0,0,0,0
5,2,0,631365,21.84403038,0,1.276725411,13.37668324,0,0,0,0,1,0,0,0,83047,48380,0,0.925234973,4111,0,42,0,0,82584,82630,82717,82829,82971,83124,84573,85721,89159,87196,82361,76791,72039,67906,64628,61874,59702,57853,56489,55159,54070,53097,52274,51514,50841,50209,49647,49102,48618,48142,47700,47279,46890,46513,46160,0,0,0,0,0
7,0,0,631366,91.12719727,0,1.270040154,-1.413731813,0,2.308000088,0,0,1,0,0,0,436691,287195,0,0.993296981,3633,0,42,0,0,438476,437672,437486,437119,436798,436584,462797,427734,371425,285064,231387,216251,225459,243068,258471,270019,277179,282107,286019,288372,290121,291662,292887,294010,294911,295778,296501,297206,297766,298372,298882,299425,299828,300327,300675,0,0,0,0,0
9,1,0,631366,3.938985586,0,0.976626396,0.013303309,0.247983098,0.2588,0.150000006,0,1,0,0,0,290652,110688,0,0.989269972,3548,0,42,0,0,291805,291386,291170,290901,290730,290574,303307,280868,209186,139775,112176,107934,109930,111695,112363,112474,112342,112142,112125,111892,111687,111497,111354,111216,111093,110998,110897,110807,110728,110648,110574,110513,110449,110405,110377,0,0,0,0,0
11,2,0,631366,19.99335098,0,1.276725411,13.37668324,0,0,0,0,1,0,0,0,81951,48618,0,0.925234973,4111,0,42,0,0,81255,81337,81480,81641,81844,82058,83593,84745,89287,88009,83224,77675,72788,68578,65232,62427,60185,58294,56861,55511,54399,53408,52566,51790,51102,50481,49899,49358,48860,48377,47932,47511,47112,46733,46377,0,0,0,0,0
13,0,0,631367,89.32357788,0,1.270040154,-1.413731813,0,2.308000088,0,0,1,0,0,0,436922,283187,0,0.993296981,3633,0,42,0,0,439269,438301,437914,437436,437075,436769,463226,430696,396370,314983,235981,205599,214099,234614,251846,264383,272318,277729,281838,284536,286444,288176,289517,290775,291786,292835,293546,294317,294912,295540,296081,296682,297105,297624,298100,0,0,0,0,0
